mmsi_id,imo,call_sign,vessel_name,vessel_type,length,width,TempId,Id_len,StartDigit
303159000,IMO8315724,WAP2210,ARCTURUS,1001.0,39.93,9.76,303159000,9,3
367011410,IMO8856510,WAJ6882,KUSTATAN,1001.0,26.76,8.53,367011410,9,3
366499000,IMO6931055,WASF,KATIE ANN,1001.0,89.92,13.52,366499000,9,3
367528690,IMO7742358,WDG3692,ALASKAN LADY,1001.0,51.08,9.76,367528690,9,3
371542000,IMO8714944,3FSS6,NO1 POHAH,70.0,115.0,16.0,371542000,9,3
367124050,IMO7609295,WDA6405,CASCADE MARINER,1001.0,25.06,7.32,367124050,9,3
368450000,,WCV8696,COASTAL MERCHANT,70.0,61.0,11.0,368450000,9,3
368313000,IMO7049342,WCV3791,PACIFIC VENTURE,1001.0,25.85,7.36,368313000,9,3
368564000,,WDF6361,JUSTINE,1013.0,26.88,6.3,368564000,9,3
366909240,IMO7827419,WDB5401,CONSTELLATION,1001.0,34.72,8.97,366909240,9,3
367474080,,WDF6420,COMMITMENT,1001.0,15.15,4.8,367474080,9,3
636014220,IMO9398448,A8SI6,ZIM ANTWERP,1004.0,349.0,45.73,636014220,9,6
367033950,IMO7200087,WDC4987,ALEUTIAN LADY,1001.0,47.15,11.59,367033950,9,3
367147230,IMO8030726,WDD4626,CLIPPER EPIC,1001.0,52.4,10.37,367147230,9,3
368382000,IMO7514854,WBC9659,ALASKA JURIS,1001.0,68.13,12.8,368382000,9,3
368608000,IMO7742580,WCX8022,NORDIC MARINER,1001.0,32.22,9.76,368608000,9,3
367328720,,WCX9276,LADY LEE DAWN,1001.0,17.68,8.4,367328720,9,3
367603000,IMO9031181,WDD5646,CHELSEA K,1001.0,45.45,11.81,367603000,9,3
367460660,IMO9020924,WDF5217,LILLI ANN,1001.0,43.1,9.45,367460660,9,3
366208000,IMO794462100,WDB9556,PAVLOF,0.0,55.0,9.0,366208000,9,3
352759000,IMO9570400,3FRU9,DOUBLE HARMONY,1004.0,229.93,38.0,352759000,9,3
303295000,IMO7614082,WYH6327,MALOLO,1025.0,30.71,9.45,303295000,9,3
367590010,IMO9718480,WDG9656,CERULEAN,1001.0,17.19,8.22,367590010,9,3
366761830,IMO7802536,WDE2670,U S INTREPID,1001.0,56.39,12.2,366761830,9,3
303426100,IMO7397828,WUR9812,BILLIKIN,1001.0,41.15,9.48,303426100,9,3
368583000,IMO8836259,WDE2125,ALASKA MIST,1001.0,50.75,9.78,368583000,9,3
369524000,IMO8851443,WDDS,DEEP PACIFIC,1001.0,34.02,9.14,369524000,9,3
366906730,IMO7719648,WDB5173,WESTERN MARINER,1001.0,32.95,8.82,366906730,9,3
338568000,IMO7434042,WBC9661,ALASKA VICTORY,1001.0,56.37,12.2,338568000,9,3
303072000,IMO8958631,WCY8978,PINNACLE,1001.0,38.46,11.58,303072000,9,3
368217000,IMO8852239,WAW7811,ZONE FIVE,1001.0,29.02,7.9,368217000,9,3
303496000,IMO7042851,WCN3586,SAMSON MARINER,1025.0,30.48,8.92,303496000,9,3
367502930,IMO8885482,WDF9223,ALASKAN PATRIOT,1001.0,22.7,7.01,367502930,9,3
303669000,IMO7232614,WYZ8176,ROYAL VIKING,1002.0,32.62,8.34,303669000,9,3
367777000,IMO7309729,WX8727,VIKING.QUEEN,0.0,34.0,8.0,367777000,9,3
367565680,IMO9684940,WDG7279,ADAMANT,1001.0,17.67,7.62,367565680,9,3
369515000,IMO8707616,WCZ6470,COMMODORE,1001.0,40.5,8.82,369515000,9,3
369283000,IMO7926526,WDB4152,U S LIBERATOR,1001.0,47.85,10.39,369283000,9,3
367497340,,WDF8673,MISS COURTNEY KIM,1001.0,17.68,5.8,367497340,9,3
367621180,IMO7421734,WDH4768,BERING SEA,1001.0,34.73,9.2,367621180,9,3
367413000,IMO9133965,WCV9860,JAMES DUNLAP,1025.0,30.78,10.94,367413000,9,3
477959200,IMO9448798,VRHM2,COSCO THAILAND,1004.0,334.06,42.8,477959200,9,4
366705860,IMO7397091,WBC9660,ALASKA.SPIRIT,30.0,70.0,12.0,366705860,9,3
367408020,IMO9020912,WDE8657,FRONTIER EXPLORER,1001.0,41.2,9.4,367408020,9,3
366297000,IMO8856730,WTC9495,CLIPPER ENDEAVOR,1001.0,34.59,12.16,366297000,9,3
367151060,IMO7049770,WDD4913,KEVLEEN-K,1001.0,24.57,7.62,367151060,9,3
367008590,,WAW4840,FARRAR SEA,0.0,30.0,70.0,367008590,9,3
338250000,IMO7716816,WAY2496,ALASKA WARRIOR,1001.0,59.29,12.2,338250000,9,3
367411730,IMO8907163,WDE8965,FRONTIER MARINER,1001.0,41.27,9.17,367411730,9,3
366270000,IMO0598508,WDD3729,BARANOF,30.0,60.0,10.0,366270000,9,3
368470000,IMO9213002,WCZ2531,C-ADVENTURER,1010.0,57.9,13.4,368470000,9,3
367035930,IMO5376208,WDC5109,MAKUSHIN BAY,1025.0,39.63,10.22,367035930,9,3
367018620,IMO7908237,WDC4069,SEABROOKE,1001.0,33.38,9.15,367018620,9,3
241018000,IMO9434424,SVBA4,SAMJOHN SOLIDARITY,1004.0,292.0,45.05,241018000,9,2
366752970,IMO8958667,WCY5597,SANDRA FIVE,1001.0,34.57,9.44,366752970,9,3
368219000,IMO9010498,WCY9686,COASTAL NAVIGATOR,1004.0,59.44,12.65,368219000,9,3
366978710,IMO9125750,WCU6587,GYRFALCON,1025.0,30.63,10.4,366978710,9,3
433867110,,WCZ6533,STORM.PETREL,7.0,30.0,70.0,433867110,9,4
367694000,IMO8515506,WAQ4899,PACIFIC PRINCE,1001.0,45.73,10.66,367694000,9,3
211331640,IMO9193305,DHBN,SEOUL EXPRESS,1004.0,294.17,32.2,211331640,9,2
367094420,IMO7926605,WDC8874,ARCTIC MARINER,1001.0,31.0,9.28,367094420,9,3
367170350,IMO7049158,WDD6249,BALLYHOO,1001.0,50.75,9.76,367170350,9,3
367098030,IMO8852667,WBS9245,KONA KAI,1001.0,24.26,7.92,367098030,9,3
463041101,IMO9304198,AQQF,MALAKAND,1004.0,225.0,32.23,463041101,9,4
367038390,IMO8852370,WDC5265,RAVEN,1001.0,25.08,6.77,367038390,9,3
367303490,IMO7528843,WDD8846,RESOLVE PIONEER,1005.0,63.23,12.25,367303490,9,3
477351400,IMO9448803,VRID6,COSCO PRINCE RUPERT,1004.0,334.06,42.8,477351400,9,4
366901360,IMO7934250,WDB4700,MORNING STAR,1001.0,34.0,7.87,366901360,9,3
366993150,IMO7933579,WDI5834,SAGA,1001.0,28.75,9.15,366993150,9,3
338673000,IMO7820150,WCZ6529,SUNSET BAY,1001.0,32.95,8.82,338673000,9,3
367526070,IMO8836273,WDG3440,GORDON JENSEN,1002.0,95.89,15.24,367526070,9,3
338945000,,NZPO,CG ALEX HALEY,1018.0,86.14,15.24,338945000,9,3
477813100,,,,,,,477813100,9,4
367530000,IMO7437630,WDD4086,PARAGON,1001.0,28.53,8.84,367530000,9,3
367377280,,WDE6201,ISLAND PACKER,1025.0,23.32,6.7,367377280,9,3
367382540,,WDE6623,SABRINA,30.0,0.0,0.0,367382540,9,3
477947700,IMO9484302,VRKR6,COSCO FOS,1004.0,260.97,32.25,477947700,9,4
367406850,,WDE8549,STANLEY K,1001.0,17.68,0.0,367406850,9,3
220061000,IMO9245756,OWWS2,CORNELIA MAERSK,1004.0,346.98,42.92,220061000,9,2
367659000,IMO0640130,WRY5333,GUN MAR,30.0,53.0,14.0,367659000,9,3
367117390,IMO7933567,WDD2598,PACIFIC SUN,1001.0,37.06,10.97,367117390,9,3
373966000,IMO9598335,3FFH,CMB POMEROL,1004.0,234.98,38.0,373966000,9,3
367374000,IMO7943469,WAI2525,FARWEST LEADER,1001.0,25.49,7.93,367374000,9,3
566747000,IMO9367176,9V7671,OOCL KUALA LUMPUR,1004.0,280.54,40.0,566747000,9,5
477685300,IMO9448750,VRGH3,COSCO KOREA,1004.0,334.06,42.8,477685300,9,4
356352000,IMO9463346,3FAD8,BAI CHAY BRIDGE,1004.0,266.65,35.4,356352000,9,3
367197950,IMO8856144,WDD8343,BLUE BALLARD,1001.0,30.82,9.1,367197950,9,3
311919000,IMO9267912,C6UH9,JASPER ARROW,1004.0,199.94,32.2,311919000,9,3
367588710,IMO9700263,WDG9531,ARCTIC PROWLER,1001.0,41.45,12.19,367588710,9,3
367444760,IMO8660129,WDF3852,CYNOSURE,1001.0,17.65,8.2,367444760,9,3
366988820,IMO7932381,WDI9317,ALEUTIAN NO 1,1001.0,37.22,9.73,366988820,9,3
432835000,IMO9374052,7JKL,CAPE VANGUARD,1004.0,299.94,50.0,432835000,9,4
211517000,IMO9162265,DANR,WESTWOOD PACIFIC,1004.0,183.2,29.94,211517000,9,2
636011627,IMO9260902,A8AM6,AEGIALI,1004.0,279.7,40.1,636011627,9,6
367509670,IMO9653719,WDF9870,KAIA,1001.0,17.68,7.92,367509670,9,3
239715000,IMO9217644,SYDH,SPARTIA,79.0,225.0,32.0,239715000,9,2
564902000,IMO9283863,9V2816,CAPRICORNUS LEADER,1004.0,199.94,32.26,564902000,9,5
371281000,IMO9290854,3ECA8,IRIS HALO,1004.0,189.98,32.26,371281000,9,3
357289000,IMO9317468,3FHF9,AGRI QUEEN,1004.0,225.0,32.26,357289000,9,3
235091871,IMO9544164,2FJU4,EVA BULKER,70.0,185.0,31.0,235091871,9,2
563230000,IMO9490703,9V8505,BELNOR,1004.0,189.98,32.26,563230000,9,5
235067987,IMO9221097,2BOS2,COSCO SHANGHAI,1004.0,279.99,39.8,235067987,9,2
357153000,IMO9169110,3FKO8,ENDLESS,1004.0,225.0,32.29,357153000,9,3
538002422,IMO9122667,V7IP2,GASPAR,1004.0,225.25,32.29,538002422,9,5
367506420,IMO9653707,WDF9560,SAINT PETER,1001.0,17.68,7.9,367506420,9,3
566928000,IMO9403085,9V7850,CARINA OCEAN,1004.0,190.0,32.26,566928000,9,5
248296000,IMO9563419,9HA2301,TOXOTIS,1004.0,190.0,32.26,248296000,9,2
353274000,IMO9337614,3EMS,NYK DAEDALUS,1004.0,294.12,32.2,353274000,9,3
370407000,IMO9388352,3ESS2,MOL CONTINUITY,1004.0,320.0,46.14,370407000,9,3
311697000,IMO9285615,C6TM5,MORNING CALM,1004.0,199.9,32.28,311697000,9,3
367026600,,,,,,,367026600,9,3
249469000,IMO9398668,9HSW9,ELLINA,1004.0,229.0,32.26,249469000,9,2
303539000,IMO7915864,WDC8427,ALEUTIAN MARINER,1001.0,31.0,9.34,303539000,9,3
367358360,IMO9551272,WDE4831,SAINT PAUL,1001.0,17.67,7.92,367358360,9,3
353785000,IMO9224544,H9TD,CHISWICK BRIDGE,1004.0,284.6,40.0,353785000,9,3
477071800,IMO9377975,VRDY4,PORT PHILLIP,1004.0,179.9,28.44,477071800,9,4
366999681,,,CG23141,1018.0,7.01,0.0,366999681,9,3
366557000,IMO8419142,KGTX,MATSON ANCHORAGE,1004.0,216.42,23.83,366557000,9,3
211779000,IMO9252565,DCPP2,NORTHERN MAJESTIC,1004.0,300.01,40.0,211779000,9,2
210635000,,,,,,,210635000,9,2
351260000,IMO9518074,3FXE8,ENERGY GLORY,1004.0,228.99,32.26,351260000,9,3
366552908,,,,,,,366552908,9,3
303397000,IMO7827421,WDH6902,ARCTIC LADY,1001.0,32.62,9.15,303397000,9,3
368543000,,WDF7163,CLAIRE OCEANA,1001.0,17.68,7.1,368543000,9,3
303543000,IMO0604208,WAR2130,NUKA ISLAND,0.0,30.0,12.0,303543000,9,3
441339000,IMO9012381,DSNG6,DELTA PRIDE,1004.0,186.15,28.4,441339000,9,4
367170270,IMO7005877,WDD6243,PACIFIC SOUNDER,30.0,32.0,12.0,367170270,9,3
369174000,IMO7647883,WDA9319,BLUE GADUS,1001.0,46.18,9.15,369174000,9,3
212347000,IMO9305673,5BZK3,HYUNDAI TOKYO,1004.0,303.83,40.11,212347000,9,2
353039000,IMO9293650,HOJZ,LIBERTY ACE,70.0,200.0,32.0,353039000,9,3
367154100,,,,,,,367154100,9,3
219145000,IMO9146467,OZSK2,SVENDBORG MAERSK,1004.0,346.98,42.8,219145000,9,2
352044000,IMO9641833,3FGZ8,WISDOM ACE,1004.0,199.97,32.26,352044000,9,3
563905000,IMO9465174,9V2308,CRIMSON QUEEN,1004.0,189.99,32.26,563905000,9,5
211378370,IMO9200691,DIGW,HANJIN BRUSSELS,71.0,278.0,40.0,211378370,9,2
368466000,IMO8853506,WBC5090,BARBARA J,1001.0,29.38,9.14,368466000,9,3
257448000,IMO8602579,LAIY4,TRINIDAD,1004.0,191.11,32.24,257448000,9,2
538005338,IMO9207780,V7CU8,SEA MELODY I,1004.0,225.0,32.26,538005338,9,5
366183000,IMO7816769,WSX5188,BERING STAR,1001.0,32.92,8.82,366183000,9,3
220263000,IMO9260469,OUOW2,ALBERT MAERSK,1004.0,352.6,42.8,220263000,9,2
636091029,IMO9295177,A8IS5,ERNEST HEMINGWAY,1004.0,294.05,32.2,636091029,9,6
368609000,IMO7613698,WDJ3353,ADVENTURE,1001.0,24.79,7.78,368609000,9,3
477351100,IMO9477878,VRIB3,OOCL BEIJING,1004.0,334.95,42.8,477351100,9,4
354891000,IMO9337640,3ENG6,NYK NEBULA,1004.0,294.13,32.2,354891000,9,3
441628000,IMO9214056,DSQM7,ORIENTAL FRONTIER,1004.0,224.89,32.2,441628000,9,4
577175000,IMO9609330,YJTK7,GLOBAL STRIKER,1004.0,178.33,29.4,577175000,9,5
303628000,IMO7814656,WSX6805,BOUNTIFUL,1001.0,50.29,14.3,303628000,9,3
356407000,IMO9604172,3FAE4,EVER LUCKY,74.0,335.0,46.0,356407000,9,3
367561420,IMO9702376,WDG6857,VICTORY,1001.0,34.74,9.44,367561420,9,3
357496000,IMO9389394,3FSI2,HANJIN ATLANTA,70.0,261.0,32.0,357496000,9,3
538004192,IMO9227637,V7VR3,OCEAN GLORY,1004.0,187.3,32.2,538004192,9,5
565598000,IMO9336012,9VBW9,IVS CABERNET,1004.0,288.97,45.0,565598000,9,5
538090257,,,,,,,538090257,9,5
566825000,,,,,,,566825000,9,5
636013457,IMO9444285,A8NC5,APL AUSTRIA,1004.0,295.18,40.0,636013457,9,6
240141000,IMO9189081,SVYL,ALPHA EFFORT,1004.0,225.02,32.28,240141000,9,2
477904700,IMO9251391,VRMQ3,MOL EXPRESS,1004.0,294.1,32.2,477904700,9,4
256657000,IMO9211585,9HZU8,TOPEKA,1004.0,225.0,32.26,256657000,9,2
376265000,IMO8018223,J8B3570,ZHEN HUA 21,1004.0,225.0,32.24,376265000,9,3
367484550,IMO8957883,WDF7442,ALEUTIAN SABLE,1001.0,34.16,9.14,367484550,9,3
477394000,IMO9102318,VRVB5,OOCL BRITAIN,70.0,276.0,40.0,477394000,9,4
303546000,IMO7938713,WUV9256,KODIAK,1001.0,25.49,7.95,303546000,9,3
373681000,IMO9609512,3FGT3,KING MILO,1004.0,225.0,32.26,373681000,9,3
366577000,IMO7710745,KGCJ,R M THORSTENSON,1002.0,90.07,13.72,366577000,9,3
351968000,IMO9292266,H3WJ,GRACE BRIDGE,1004.0,294.12,32.2,351968000,9,3
353903000,IMO9560352,3FFH5,SEATTLE BRIDGE,1004.0,293.19,40.0,353903000,9,3
372733000,IMO9336775,3EKI7,SSI SPRING,1004.0,177.0,28.4,372733000,9,3
367630000,IMO0524452,WBE5651,ATLANTICO,0.0,40.0,10.0,367630000,9,3
367377520,,WDE6220,NORTHERN STAR,1001.0,15.0,4.8,367377520,9,3
255805613,IMO9692698,CQFL,ALWINE OLDENDORFF,1004.0,198.0,32.26,255805613,9,2
352548000,IMO9055486,3FSU3,RYUJIN,1004.0,180.01,32.2,352548000,9,3
355856000,IMO9198264,H3NM,YM PLUM,1004.0,274.69,40.0,355856000,9,3
354322000,IMO9615767,3FSA2,EUROPA BAY,1004.0,197.0,32.26,354322000,9,3
370739000,IMO9363302,3FMK5,GLOBAL SERENITY,1004.0,177.13,28.4,370739000,9,3
209889000,IMO9317834,5BXG3,XENIA,1004.0,229.0,36.54,209889000,9,2
566352000,IMO9544138,9V9788,MILAU BULKER,1004.0,184.75,30.6,566352000,9,5
373945000,IMO9692715,3FQI4,IVS NARUO,1004.0,198.0,32.26,373945000,9,3
548863000,IMO9648855,DUEL,NS TRADER I,1004.0,189.99,32.26,548863000,9,5
311053200,IMO9597783,C6ZD6,GALATEIA,1004.0,229.0,32.25,311053200,9,3
351265000,,,,,,,351265000,9,3
355488000,IMO9536959,3EVM6,DELHI HIGHWAY,1004.0,199.9,32.26,355488000,9,3
314312000,IMO9425825,8PWL,PILION,1004.0,189.89,32.2,314312000,9,3
636013698,IMO9353280,A8OS5,YM EFFICIENCY,1004.0,268.8,32.3,636013698,9,6
351327000,IMO9274915,H9IO,ANGELA,1004.0,190.0,32.26,351327000,9,3
477486500,IMO9458444,VRLU2,HUANGHAI DEVELOPER,1004.0,166.31,27.4,477486500,9,4
258867000,IMO8502834,LAYG5,STAR ATLANTIC,1004.0,168.5,26.0,258867000,9,2
356567000,IMO9010785,HPXZ,SHANGHAI REEFER,1004.0,152.14,22.22,356567000,9,3
371799000,IMO9302073,3EES2,GEORGE WASHINGTON BR,1004.0,284.6,40.0,371799000,9,3
367124290,IMO8332136,WDC3659,CAPE DENBIGH,1001.0,37.34,9.15,367124290,9,3
319875000,IMO9229697,ZCIT3,EQUINOX SEAS,1004.0,190.01,32.24,319875000,9,3
241211000,IMO9588316,SVBN2,FIGALIA PRUDENCE,1004.0,229.06,32.31,241211000,9,2
241084000,IMO9483542,SVBF4,AEOLIAN HERITAGE,1004.0,229.0,32.24,241084000,9,2
538004590,IMO9460863,V7XW7,OCEAN DESTINY,1004.0,190.0,32.26,538004590,9,5
367609000,IMO7437721,WCI6929,SILVER DOLPHIN,1001.0,27.99,8.34,367609000,9,3
538005514,IMO9161687,V7CD5,UNICO STELLA,1004.0,225.0,32.25,538005514,9,5
636092317,IMO9430375,D5AH6,SANTA TERESA,1004.0,299.98,42.8,636092317,9,6
215733000,IMO9211597,9HRS8,REDONDO,1004.0,225.0,32.26,215733000,9,2
367308320,IMO8851625,WDD9205,BERING HUNTER,1001.0,29.02,7.92,367308320,9,3
235603000,IMO9241293,VQFS4,EVER ETHIC,1004.0,299.92,42.8,235603000,9,2
367142080,IMO890000000,WBB4240,CORNELIA MARIE,0.0,0.0,0.0,367142080,9,3
256687000,IMO9436379,9HA2907,CMA CGM SAMSON,1004.0,334.91,42.8,256687000,9,2
353958000,IMO9347449,3EPJ2,HANJIN CHONGQING,70.0,304.0,40.0,353958000,9,3
636016177,IMO9627916,D5EV9,CSAV TRANCURA,1004.0,299.9,48.4,636016177,9,6
564153000,IMO9482110,9V8799,CAMBRIA COLOSSUS,1004.0,196.99,32.26,564153000,9,5
477016800,IMO9617947,VRJN5,SINOCHART BEIJING,1004.0,229.0,32.26,477016800,9,4
351474000,IMO9668051,3FDR7,LOCH SHUNA,1004.0,189.99,32.25,351474000,9,3
372043000,IMO9668350,3EWL5,MOMO GLORY,1004.0,169.37,27.2,372043000,9,3
563895000,IMO9507776,9V8070,SAGARJEET,1004.0,189.98,32.26,563895000,9,5
477293500,IMO9611709,VRMZ3,COFCO 1,1004.0,229.0,32.31,477293500,9,4
367892000,IMO8019801,WDD3741,SOUTHERN WIND,1001.0,43.9,9.76,367892000,9,3
258008000,IMO9603790,LAQN7,STAR LOEN,1004.0,204.4,32.31,258008000,9,2
566085000,IMO9515395,9V9111,PARSIFAL,1004.0,264.99,32.2,566085000,9,5
636090534,IMO9246310,ELZY3,E R WILHELMSHAVEN,1004.0,211.85,29.8,636090534,9,6
351656000,IMO9263253,HPBN,ARMERIA,70.0,190.0,31.0,351656000,9,3
311918000,IMO9267924,C6UH8,ONYX ARROW,1004.0,199.93,32.24,311918000,9,3
636013235,IMO9338802,A8LP2,NORD OPTIMISER,1024.0,182.5,32.23,636013235,9,6
258972000,IMO8309830,LAVX4,STAR FUJI,1004.0,187.31,29.47,258972000,9,2
565292000,IMO9376309,S6FP2,MOKARA COLOSSUS,70.0,190.0,32.0,565292000,9,5
367601000,,WDC7308,SCANDIES ROSE,30.0,43.0,11.0,367601000,9,3
566614000,IMO9515008,9V8009,VIKING SEA,1004.0,167.25,28.0,566614000,9,5
477351600,IMO9311402,VRIC6,PORT ALICE,1004.0,175.53,29.4,477351600,9,4
636016231,IMO9629469,D5FD2,SWANSEA,1004.0,270.9,42.8,636016231,9,6
565007000,IMO9116591,9V7958,EVER UNISON,1004.0,284.99,40.0,565007000,9,5
373558000,IMO9473767,3FCW3,TWINLUCK SW,1004.0,175.53,29.4,373558000,9,3
538002641,IMO9361201,V7KL4,STAR SOPHIA,1004.0,229.0,32.29,538002641,9,5
311864000,IMO9226061,C6UB2,WESTWOOD OLYMPIA,1004.0,199.9,31.07,311864000,9,3
366433000,IMO9054377,WDB9466,SIBERIAN SEA,1001.0,42.0,10.35,366433000,9,3
538004290,IMO9595723,V7WF9,GOLDEN KEEN,1004.0,229.07,32.26,538004290,9,5
356817000,IMO9073402,HPZO,HARU VERDY,1004.0,134.02,20.8,356817000,9,3
636015123,IMO9487615,A8YS7,APHRODITE L,1004.0,229.03,32.26,636015123,9,6
366978060,IMO7337153,WDB9538,NORDIC FURY,1001.0,28.53,8.84,366978060,9,3
229557000,IMO9477804,9HA3404,HS BAFFIN,1004.0,255.33,37.3,229557000,9,2
413196000,IMO9523184,BRPF,FU RONG FENG,1004.0,225.0,32.26,413196000,9,4
356566000,IMO9343534,3ELY3,GLOBAL SAIKAI,1004.0,188.5,32.26,356566000,9,3
366820000,IMO9198408,WDE7168,BRISTOL LEADER,1001.0,50.9,10.36,366820000,9,3
240537000,IMO9317004,SXGY,PANSOLAR,70.0,225.0,33.0,240537000,9,2
338282000,IMO9040558,WDG2051,STIMSON,1018.0,46.55,11.58,338282000,9,3
356919000,IMO9141211,3FPY6,MILLENNIUM LEADER,1004.0,128.0,21.5,356919000,9,3
215571000,IMO9276030,9HUB7,ELBRUS,1024.0,183.22,32.24,215571000,9,2
538090149,IMO9290452,V7HB6,OCTAVIA,1004.0,294.1,32.2,538090149,9,5
431904000,IMO9134294,JHJM,TOYOSU MARU,1024.0,230.0,36.6,431904000,9,4
209371000,IMO9339014,C4LN2,JRS CANIS,1004.0,129.58,20.6,209371000,9,2
370885000,IMO9470777,3FQE7,IRIS SKY,1004.0,169.54,27.2,370885000,9,3
355395000,IMO9153563,3FWL8,COSMOS ACE,1004.0,188.0,31.2,355395000,9,3
636015690,IMO9626364,D5CG2,OCEAN OPAL,1004.0,187.8,27.8,636015690,9,6
636015110,IMO9468217,A8YQ8,COPACABANA,1004.0,177.85,28.6,636015110,9,6
636014869,IMO9588469,A8WZ7,NORDIC ZENITH,1024.0,274.39,48.32,636014869,9,6
419730000,IMO9278820,AUWJ,PRABHU MIHIKAA,1004.0,189.9,32.26,419730000,9,4
477862000,IMO9227687,VRWX2,TIAN HUA FENG,1004.0,224.97,32.2,477862000,9,4
257705000,IMO8005109,LAWO2,STAR EAGLE,1004.0,179.61,29.44,257705000,9,2
372789000,IMO9550216,3EZY5,TRANSFORMER OL,1004.0,169.37,27.23,372789000,9,3
477832300,IMO9484390,VRLY7,COSCO VALENCIA,1004.0,261.1,32.25,477832300,9,4
372712000,IMO9317365,3EKF8,PHOENIX K,1004.0,189.98,32.26,372712000,9,3
265899000,IMO8321345,SLKB,ISOLDE,1004.0,198.0,32.29,265899000,9,2
372622000,IMO9570462,3FWI4,SUNRISE SERENITY,1004.0,224.94,32.2,372622000,9,3
311757000,IMO9218284,C6TR8,ANASTASIA C,1004.0,225.0,32.3,311757000,9,3
477167900,IMO9612155,VRJD8,BONNIE VENTURE,1004.0,177.5,28.2,477167900,9,4
304043000,IMO9436329,V2GQ2,BBC VOLGA,79.0,144.0,23.0,304043000,9,3
636092149,IMO9483243,A8XQ4,E R BASEL,1004.0,187.8,32.26,636092149,9,6
477317700,IMO9439618,VRIF3,HEBEI DYNASTY,1004.0,295.0,46.05,477317700,9,4
538090425,,,,,,,538090425,9,5
256970000,,,,,,,256970000,9,2
577168000,IMO9668271,YJTJ9,PACIFIC HARMONY,1004.0,179.98,29.8,577168000,9,5
477637500,IMO9727077,VRNS6,OCEAN FORTUNE,1004.0,179.99,30.0,477637500,9,4
371407000,IMO9531650,3FEZ4,ATLANTIC OASIS,1004.0,179.98,28.2,371407000,9,3
477765800,IMO9484261,VRKF8,COSCO AUCKLAND,1004.0,261.1,32.25,477765800,9,4
373108000,IMO9621170,3EWS2,DL MARIGOLD,1004.0,180.01,30.0,373108000,9,3
351630000,IMO9598074,3FVK5,ASIAN BEAUTY,1004.0,169.37,27.2,351630000,9,3
248184000,IMO9486025,9HA2223,SEAPACE,1004.0,189.98,32.26,248184000,9,2
367309320,IMO6407834,WDD9277,JOHN BRIX,1025.0,43.08,10.67,367309320,9,3
367068230,IMO8997845,WDC7227,BERING LEADER,1001.0,35.35,12.2,367068230,9,3
538004585,IMO9543770,V7XW2,DESERT MOON,1004.0,193.07,32.26,538004585,9,5
366899490,IMO9010486,WDB4538,EASTERN WIND,1004.0,59.44,12.65,366899490,9,3
338526000,IMO8101680,WCY8622,UNIMAK,1001.0,56.09,12.2,338526000,9,3
311668000,IMO8917584,C6TJ9,WELLINGTON STAR,1004.0,140.5,19.73,311668000,9,3
371062000,IMO9300324,3EBC8,COSCO TIANJIN,1004.0,278.94,40.0,371062000,9,3
210161000,IMO9321897,C4VG2,NORDSPRING,1004.0,246.8,32.2,210161000,9,2
368631000,,WBP7065,CAPE CAUTION,110.0,40.0,10.0,368631000,9,3
235068032,IMO9221102,2BOW4,COSCO SINGAPORE,1004.0,279.99,39.8,235068032,9,2
366230550,IMO8856936,WDC3653,ISLANDMIST,30.0,38.0,9.0,366230550,9,3
366845000,IMO8856259,WDI4995,RAMBLIN ROSE,1001.0,28.16,7.32,366845000,9,3
311000153,IMO9635456,C6AU3,CS SATIRA,1004.0,179.9,30.4,311000153,9,3
538005534,IMO9224697,V7EU2,RAVE,1004.0,224.9,32.25,538005534,9,5
338564000,IMO0973238,WCX2255,TIME BANDIT,79.0,0.0,0.0,338564000,9,3
259712000,IMO9347516,LALW7,CLIPPER SUN,1024.0,225.0,36.63,259712000,9,2
368305000,IMO9273674,WECH,MANULANI,1004.0,217.0,32.2,368305000,9,3
431182000,IMO9178587,JDXU,SHINCHO MARU NO 1,1001.0,49.2,8.0,431182000,9,4
367453000,IMO7914248,WDF6708,ATCHAFALAYA,1005.0,60.05,12.4,367453000,9,3
514117000,IMO8408870,XUHV4,YONG HANG 9,70.0,150.0,22.0,514117000,9,5
357074000,IMO9799745,3FDG6,NEW BLISS,,0.0,0.0,357074000,9,3
367363350,IMO7719179,WDE5199,NORTHWESTERN,1001.0,35.97,8.84,367363350,9,3
477986300,IMO9448554,VRHS4,GOLDEN ZHOUSHAN,1004.0,291.8,45.0,477986300,9,4
255805666,IMO9467043,CQGQ,NORTHERN PROMOTION,1004.0,264.28,32.26,255805666,9,2
514266000,IMO8214827,XUDF5,MING FENG,70.0,144.0,21.0,514266000,9,5
352808000,IMO9053505,3FWI3,KAIJIN,1004.0,195.54,28.8,352808000,9,3
477179000,IMO9121742,VRYB5,PROSPERITY 102,1004.0,185.73,30.95,477179000,9,4
255805460,IMO9612246,CQLZ,ZAMBESI,1004.0,179.97,30.0,255805460,9,2
636015250,IMO9581667,A8ZM8,FPMC 29,1024.0,183.0,32.2,636015250,9,6
370155000,IMO9490911,3FEY3,HL SUCCESS,1004.0,292.0,45.0,370155000,9,3
370377000,IMO9465784,3EWI7,LADY Z,1004.0,225.0,32.52,370377000,9,3
353478000,IMO9545170,3FHH6,NAVIOS SOL,1004.0,288.92,45.0,353478000,9,3
